Rank,School,Latitude,Longitude
1,Princeton,40.344,-74.6514
3,Harvard,42.377,-71.1167
4,Stanford,37.4275,-122.1697
4,Yale,41.3163,-72.9223
7,Duke,36.0014,-78.9382
7,Northwestern,42.0565,-87.6753
7,UPenn,39.9522,-75.1932
10,Air Force,38.9983,-104.8613
10,Army,41.3918,-73.9585
10,Navy,38.9822,-76.485
12,Cornell,42.4534,-76.4735
13,Brown,41.8268,-71.4025
13,Dartmouth,43.7044,-72.2887
15,Columbia,40.8075,-73.9626
15,California,37.8719,-122.2585
17,Rice,29.7174,-95.4018
17,UCLA,34.0689,-118.4452
17,Vanderbilt,36.1447,-86.8027
20,Michigan,42.278,-83.7382
20,Notre Dame,41.7056,-86.2353
24,Georgetown,38.9076,-77.0723
26,North Carolina,35.9049,-79.0469
26,Virginia,38.0336,-78.508
28,USC,34.0224,-118.2851
30,Florida,29.6436,-82.3549
30,Texas,30.2849,-97.7341
32,Georgia Tech,33.7756,-84.3963
32,UC Davis,38.5382,-121.7617
36,Boston College,42.3355,-71.1685
36,Illinois,40.102,-88.2272
36,Wisconsin,43.0766,-89.4125
41,Ohio State,40.0067,-83.0305
42,Rutgers,40.5008,-74.4474
42,Maryland,38.9869,-76.9426
42,Washington,47.6553,-122.3035
46,Lehigh,40.6053,-75.378
46,Purdue,40.4237,-86.9212
46,Georgia,33.948,-83.3773
51,FSU,30.4419,-84.2985
51,Texas A&M,30.6181,-96.3365
51,Virginia Tech,37.2284,-80.4234
51,Wake Forest,36.1323,-80.2771
51,William & Mary,37.2707,-76.711
57,Villanova,40.0369,-75.3426
59,Penn State,40.7982,-77.8599
59,Stony Brook,40.9124,-73.1234
59,Minnesota,44.974,-93.2277
64,Michigan State,42.7018,-84.4822
64,NC State,35.7847,-78.6821
64,Miami,25.7196,-80.277
64,UMass,42.3868,-72.5301
69,Tulane,29.9405,-90.1203
69,UConn,41.8077,-72.254
69,Pittsburgh,40.4442,-79.9532
73,Indiana,39.1766,-86.513
75,Clemson,34.678,-82.8361
75,Syracuse,43.0392,-76.1351
75,Buffalo,43.0008,-78.789
88,Baylor,31.5497,-97.1143
88,Howard,38.9227,-77.0194
88,SMU,32.8412,-96.7845
88,Delaware,39.678,-75.7506
88,South Florida,28.0587,-82.4139
97,FIU,25.7562,-80.3755
97,Fordham,40.861,-73.8857
97,TCU,32.7095,-97.3628
97,Colorado,40.0076,-105.2659
102,Auburn,32.6026,-85.4839
102,Temple,39.9812,-75.1581
102,Iowa,41.6627,-91.5549
102,Missouri,38.9404,-92.3277
102,Tennessee,35.9544,-83.9295
110,BYU,40.2518,-111.6493
110,Oklahoma,35.2059,-97.4457
110,Oregon,44.0448,-123.0726
110,San Diego,32.7719,-117.1834
117,Arizona State,33.4242,-111.9281
117,Elon,36.103,-79.5015
117,Iowa State,42.0266,-93.6465
117,San Diego St,32.7758,-117.0719
117,Central Florida,28.6024,-81.2001
117,New Hampshire,43.1389,-70.937
127,Albany,42.686,-73.8236
127,Arizona,32.2319,-110.9501
127,South Carolina,33.9937,-81.0267
132,UAB,33.502,-86.8058
132,Houston,29.7199,-95.3422
143,Miami OH,39.5097,-84.7335
143,Oregon State,44.5638,-123.2794
143,Dayton,39.7391,-84.1764
143,Kansas,38.9543,-95.2558
143,Kentucky,38.0307,-84.504
143,Charlotte,35.3071,-80.7302
151,Colorado State,40.5734,-105.0865
151,JMU,38.4351,-78.8698
151,Rhode Island,41.4863,-71.5303
151,Utah,40.7649,-111.8421
158,Kansas State,39.1911,-96.581
158,Cincinnati,39.1319,-84.5152
158,Louisville,38.2123,-85.7585
158,Nebraska,40.8175,-96.7014
158,Saint Thomas,44.9403,-93.1916
158,Tulsa,36.1517,-95.9463
169,Duquesne,40.4363,-79.9922
169,Florida A&M,30.4269,-84.2858
169,LSU,30.4133,-91.18
169,Alabama,33.2098,-87.5461
169,Ole Miss,34.3647,-89.5384
179,Samford,33.4661,-86.7909
183,Fresno State,36.8123,-119.7471
183,Drake,41.6014,-93.6517
183,Florida Atlantic,26.3705,-80.1017
183,Arkansas,36.0679,-94.1737
192,East Carolina,35.6069,-77.3665
192,Nevada,39.5441,-119.8164
192,WA State,46.7319,-117.1542
198,Georgia State,33.7531,-84.3853
198,Ohio,39.3248,-82.095
198,Oklahoma State,36.1215,-97.0673
198,Texas Tech,33.5843,-101.8743
198,Valparaiso,41.4639,-87.0427
208,Mississippi St,33.4504,-88.7944
208,Robert Morris,40.5218,-80.2131
208,North Texas,33.2075,-97.1526
213,Ball State,40.2025,-85.408
213,UTSA,29.5841,-98.6186
222,Illinois State,40.5103,-88.9925
222,New Mexico St,32.2818,-106.7486
222,Wyoming,41.3134,-105.5807
222,West Virginia,39.6358,-79.9554
232,Kent State,41.1443,-81.3398
232,NC A&T,36.0728,-79.7734
232,UNLV,36.107,-115.1428
242,Northern AZ,35.1808,-111.6542
242,Sacred Heart,41.221,-73.2427
242,New Mexico,35.0844,-106.6198
242,Utah State,41.7452,-111.8097
257,Middle TN,35.8486,-86.3669
257,Sam Houston,30.7145,-95.5494
257,Tennessee Tech,36.1731,-85.5034
257,Texas State,29.8884,-97.9383
257,UTEP,31.7709,-106.505
257,Western NC,35.3113,-83.1813
273,Hampton,37.0227,-76.3343
273,Memphis,35.1185,-89.9372
283,Central MI,43.5818,-84.7766
293,Bowling Green,41.378,-83.6268
293,Old Dominion,36.8853,-76.3059
293,Toledo,41.6617,-83.6136
293,Western MI,42.2825,-85.6146
301,Boise State,43.6028,-116.1994
13,Davidson,35.5008,-80.8427
22,Colgate,42.8188,-75.5369
22,Richmond,37.575,-77.5385
27,Holy Cross,42.2393,-71.808
30,Bucknell,40.9546,-76.8833
30,Lafayette,40.6973,-75.2029
45,Furman,34.9254,-82.4395
65,VMI,37.7909,-79.4357
67,Wofford,34.9587,-81.9333